Sequence Length,Sample Index,Export Time (s)
128,49,33.519755125045776
128,50,33.308663845062256
128,51,33.00890922546387
128,52,41.775622606277466
128,53,33.50218367576599
128,54,33.23504567146301
128,55,33.02441883087158
128,56,42.33411383628845
128,57,33.44890832901001
128,58,33.11585998535156
128,59,41.70254850387573
128,60,33.54851222038269
128,61,33.22387099266052
128,62,33.06854438781738
128,63,42.25932192802429
128,64,33.383681774139404
128,65,33.29073405265808
128,66,32.98673629760742
128,67,42.56697964668274
128,68,33.515734910964966
128,69,33.229838371276855
128,70,32.88202977180481
128,71,42.690653562545776
128,72,33.4940721988678
128,73,33.282471656799316
128,74,32.97810697555542
128,75,42.88246464729309
128,76,33.441137075424194
128,77,33.260459423065186
128,78,32.9977605342865
128,79,42.99319672584534
128,80,33.374680280685425
128,81,33.354578733444214
128,82,33.00216865539551
128,83,43.37255644798279
128,84,33.351656436920166
128,85,33.246315717697144
128,86,33.00962018966675
128,87,32.87497043609619
128,88,43.88085126876831
128,89,33.400506019592285
128,90,33.25865983963013
128,91,32.98346829414368
128,92,43.633246183395386
128,93,33.57205295562744
128,94,33.092130184173584
128,95,32.96428966522217
128,96,43.7009756565094
128,97,33.29266834259033
128,98,33.33559465408325
128,99,33.15074014663696
256,0,33.04348540306091
256,1,44.44412899017334
256,2,33.41482663154602
256,3,33.37578320503235
256,4,33.0487642288208
256,5,32.95840573310852
256,6,44.625922203063965
256,7,33.364649057388306
256,8,33.30476784706116
256,9,33.058172941207886
256,10,44.50479698181152
256,11,33.49117350578308
256,12,33.344820976257324
256,13,33.026283740997314
256,14,32.98813271522522
256,15,44.95983910560608
256,16,33.27672600746155
256,17,33.35341501235962
256,18,33.212711334228516
256,19,33.06642556190491
256,20,45.29519271850586
256,21,33.505993604660034
256,22,33.46065044403076
256,23,33.05690860748291
256,24,32.90057182312012
256,25,32.82392859458923
256,26,46.03312087059021
256,27,33.2821843624115
256,28,33.29262948036194
256,29,33.1797194480896
256,30,33.018457651138306
256,31,45.875723123550415
256,32,33.495657205581665
256,33,33.317469358444214
256,34,33.01736664772034
256,35,32.9865186214447
256,36,45.95959806442261
256,37,33.27001094818115
256,38,33.24717378616333
256,39,33.2777886390686
256,40,33.09004592895508
256,41,32.99300980567932
256,42,46.849586963653564
256,43,33.39281439781189
256,44,33.366652727127075
256,45,33.1135892868042
256,46,32.971407413482666
256,47,46.69762921333313
256,48,33.3167040348053
256,49,33.312060594558716
256,50,33.275681495666504
256,51,33.03125
256,52,32.84341216087341
256,53,47.288517475128174
256,54,33.37206172943115
256,55,33.4926962852478
256,56,33.29903030395508
256,57,33.08741736412048
256,58,33.059932470321655
256,59,47.764299631118774
256,60,33.43752574920654
256,61,33.340036392211914
256,62,33.22086834907532
256,63,33.087769985198975
256,64,32.92086338996887
256,65,48.08210825920105
256,66,33.41684556007385
256,67,33.43556594848633
256,68,33.2454469203949
256,69,33.09947848320007
256,70,32.95895433425903
256,71,48.43296575546265
256,72,33.40816617012024
256,73,33.454567193984985
256,74,33.27537798881531
256,75,32.985700845718384
256,76,33.01223611831665
256,77,48.41282844543457
256,78,33.420878171920776
256,79,33.45335292816162
256,80,33.26973557472229
256,81,33.08717632293701
256,82,33.10575032234192
256,83,48.60160303115845
256,84,33.40936517715454
256,85,33.397345542907715
256,86,33.334797859191895
256,87,33.243650913238525
256,88,33.03664803504944
256,89,32.870811223983765
256,90,49.40663743019104
256,91,33.45399188995361
256,92,33.34406518936157
256,93,33.324692249298096
256,94,33.076528787612915
256,95,33.06221294403076
256,96,49.31815695762634
256,97,33.471323013305664
256,98,33.38707423210144
256,99,33.40970969200134
